Unnamed: 0,UTC,day,month,hour,maxtempC,mintempC,DewPointC,WindGustKmph,cloudcover,humidity,pressure,tempC,precipMM,winddirDegree,windspeedKmph,pm25,pm10,frequency_category,windows_open
1374,2025-03-30 06:00:00,30,3,6,16.4,8.8,9.1,3.6,96.0,94.0,1007.6,10.1,0.1,243.0,3.6,1.7,1.8,none,False
1375,2025-03-30 07:00:00,30,3,7,16.4,8.8,9.5,4.4,100.0,88.0,1007.7,11.5,0.1,218.0,4.4,1.7,1.8,none,False
1376,2025-03-30 08:00:00,30,3,8,16.4,8.8,8.6,6.9,100.0,78.0,1008.1,12.3,0.2,203.0,6.9,1.8,1.9,none,False
1377,2025-03-30 09:00:00,30,3,9,16.4,8.8,8.0,7.2,95.0,71.0,1008.1,13.2,0.1,198.0,7.2,1.7,1.8,none,False
1378,2025-03-30 10:00:00,30,3,10,16.4,8.8,8.3,3.3,92.0,68.0,1007.8,14.2,0.1,216.0,3.3,1.7,1.8,none,False
1379,2025-03-30 11:00:00,30,3,11,16.4,8.8,8.3,3.6,17.0,62.0,1007.0,15.5,0.0,250.0,3.6,1.5,1.6,none,False
1380,2025-03-30 12:00:00,30,3,12,16.4,8.8,8.0,3.0,18.0,57.0,1006.3,16.4,0.0,253.0,3.0,1.6,1.7,none,False
1381,2025-03-30 13:00:00,30,3,13,16.4,8.8,6.6,1.6,38.0,53.0,1006.7,16.3,0.1,174.0,1.6,1.5,1.6,none,False
1382,2025-03-30 14:00:00,30,3,14,16.4,8.8,6.9,4.5,67.0,54.0,1006.5,16.1,0.3,140.0,4.5,1.4,1.5,none,False
1383,2025-03-30 15:00:00,30,3,15,16.4,8.8,6.9,5.4,47.0,54.0,1006.2,16.2,0.1,110.0,5.4,1.4,1.5,none,False
1384,2025-03-30 16:00:00,30,3,16,16.4,8.8,9.1,7.1,96.0,73.0,1007.3,13.8,0.9,317.0,7.1,1.4,1.5,none,False
1385,2025-03-30 17:00:00,30,3,17,16.4,8.8,9.9,6.6,56.0,85.0,1007.7,12.4,0.0,248.0,6.6,1.4,1.5,none,False
1386,2025-03-30 18:00:00,30,3,18,16.4,8.8,9.9,6.5,57.0,94.0,1008.7,10.9,0.1,276.0,6.5,1.5,1.6,none,False
1387,2025-03-30 19:00:00,30,3,19,16.4,8.8,9.7,4.5,62.0,97.0,1009.1,10.2,0.0,272.0,4.5,1.7,1.8,none,False
1388,2025-03-30 20:00:00,30,3,20,16.4,8.8,9.1,3.4,90.0,95.0,1009.4,9.9,1.0,286.0,3.4,1.4,1.5,none,False
1389,2025-03-30 21:00:00,30,3,21,16.4,8.8,8.8,3.4,97.0,97.0,1009.3,9.3,0.2,254.0,3.4,1.5,1.6,none,False
1390,2025-03-30 22:00:00,30,3,22,16.4,8.8,8.8,2.1,100.0,95.0,1009.4,9.6,0.5,232.0,2.1,1.6,1.7,none,False
1391,2025-03-30 23:00:00,30,3,23,16.4,8.8,8.6,4.1,100.0,96.0,1009.1,9.2,0.6,257.0,4.1,1.7,1.8,none,False
1392,2025-03-31 00:00:00,31,3,0,14.9,8.9,8.6,3.1,82.0,97.0,1008.5,9.0,0.0,277.0,3.1,1.6,1.7,none,False
1393,2025-03-31 01:00:00,31,3,1,14.9,8.9,8.3,2.8,98.0,94.0,1008.1,9.2,0.2,281.0,2.8,1.7,1.8,none,False
1394,2025-03-31 02:00:00,31,3,2,14.9,8.9,8.2,3.1,82.0,93.0,1007.9,9.2,1.7,273.0,3.1,1.8,1.9,none,False
1395,2025-03-31 03:00:00,31,3,3,14.9,8.9,8.4,6.0,99.0,95.0,1007.8,9.2,0.7,267.0,6.0,1.7,1.8,none,False
1396,2025-03-31 04:00:00,31,3,4,14.9,8.9,7.8,4.4,94.0,93.0,1007.8,8.9,0.2,279.0,4.4,1.8,1.9,none,False
1397,2025-03-31 05:00:00,31,3,5,14.9,8.9,8.6,4.8,100.0,96.0,1008.3,9.2,0.7,257.0,4.8,1.7,1.8,none,False
1398,2025-03-31 06:00:00,31,3,6,14.9,8.9,8.9,4.9,100.0,96.0,1008.6,9.6,0.5,242.0,4.9,1.7,1.8,none,True
1399,2025-03-31 07:00:00,31,3,7,14.9,8.9,9.0,5.6,100.0,91.0,1008.8,10.3,0.3,225.0,5.6,1.7,1.9,none,False
1400,2025-03-31 08:00:00,31,3,8,14.9,8.9,7.7,6.0,100.0,81.0,1009.0,10.9,0.1,219.0,6.0,1.8,1.9,none,False
1401,2025-03-31 09:00:00,31,3,9,14.9,8.9,7.7,8.3,100.0,80.0,1008.7,11.0,0.1,200.0,8.3,1.9,2.1,none,False
1402,2025-03-31 10:00:00,31,3,10,14.9,8.9,7.7,5.2,100.0,77.0,1008.7,11.6,0.0,226.0,5.2,1.8,1.9,none,False
1403,2025-03-31 11:00:00,31,3,11,14.9,8.9,7.9,4.1,40.0,71.0,1008.2,13.0,0.0,236.0,4.1,1.8,1.9,none,False
1404,2025-03-31 12:00:00,31,3,12,14.9,8.9,7.5,0.4,52.0,64.0,1007.2,14.2,0.0,243.0,0.4,1.9,2.0,none,False
1405,2025-03-31 13:00:00,31,3,13,14.9,8.9,8.1,4.8,28.0,64.0,1007.5,14.9,0.0,63.0,4.8,1.9,2.0,none,False
1406,2025-03-31 14:00:00,31,3,14,14.9,8.9,7.3,4.8,30.0,61.0,1007.2,14.8,0.0,79.0,4.8,2.0,2.1,none,False
1407,2025-03-31 15:00:00,31,3,15,14.9,8.9,6.6,3.8,36.0,58.0,1007.1,14.8,0.0,85.0,3.8,2.0,2.1,none,False
1408,2025-03-31 16:00:00,31,3,16,14.9,8.9,6.8,7.7,68.0,62.0,1007.6,14.1,0.0,91.0,7.7,2.1,2.2,none,False
1409,2025-03-31 17:00:00,31,3,17,14.9,8.9,8.2,2.9,96.0,77.0,1008.0,12.1,0.0,158.0,2.9,2.0,2.1,none,False
